Date,Close,High,Low,Open,Volume
2014-02-28,10.355682373046875,10.524182206433606,9.934435086156759,10.394297932519382,15676529
2014-03-03,10.640026092529297,10.706723273181643,10.239840252723175,10.355682337590647,10048942
2014-03-04,10.773423194885254,10.878734115430811,10.359195096406706,10.569819693390333,12869532
2014-03-05,10.53471565246582,10.83661083112048,10.50312301779064,10.801506270582044,10349152
2014-03-06,10.92788028717041,10.987556380459798,10.250372626588902,10.478547653647457,15322194
2014-03-07,10.769911766052246,11.268387436570839,10.671620115966924,10.840119037678079,13122181
2014-03-10,10.215269088745117,10.615455015001666,10.183675535511512,10.531205539712051,9910060
2014-03-11,10.109956741333008,10.4258931765718,9.990603630158057,10.180164940122832,8923287
2014-03-12,9.825613975524902,10.208247607090236,9.618500383722498,10.109956862511035,8387337
2014-03-13,9.9976224899292,10.02570594947164,9.727321832896523,9.75891538039525,7008428
2014-03-14,10.324090003967285,10.418870645893543,9.836144605333859,9.864227146076722,9967999
2014-03-17,10.390788078308105,10.404829348643265,10.183673599422601,10.246861612507582,8391239
2014-03-18,10.56630802154541,10.650558406216703,10.355683437813347,10.42589255102148,10927422
2014-03-19,10.141549110412598,10.506631334096006,10.113466569075971,10.496099232806362,12662843
2014-03-20,9.794021606445312,10.236333225683785,9.787000510044889,10.053791149689483,9417934
2014-03-21,9.794021606445312,9.822105073416047,9.302565986927707,9.660626286623016,12019784
2014-03-24,9.43596076965332,9.77646876828127,9.341179188850944,9.688709202110578,11132251
2014-03-25,9.478087425231934,9.614992853833852,9.390326922681771,9.439472767364618,5802895
2014-03-26,9.509679794311523,9.688710883672082,9.41138902639588,9.548294451071376,9635682
2014-03-27,8.618038177490234,9.502659688677827,8.618038177490234,9.42543037456521,24035703
2014-03-28,8.161684036254883,8.512724111079734,8.109028116894239,8.449536089216128,17406094
2014-03-31,8.091474533081055,8.256464297384445,7.9756324346425425,8.161683647055018,8370412
2014-04-01,8.361776351928711,8.368796527835645,8.091473857851767,8.126578411909293,10868693
2014-04-02,8.249445915222168,8.386352262685959,8.144134046889322,8.354757783555014,8351141
2014-04-03,8.403901100158691,8.530276222771521,8.214338875554853,8.23189207317122,9856242
2014-04-04,8.42496395111084,8.512724432445536,8.291568644151093,8.305609916967063,6587699
2014-04-08,8.400390625,8.505702456802371,8.179234859584247,8.274016426837154,7216143
2014-04-09,8.779515266418457,8.814618908653667,8.424964162277652,8.424964162277652,13839361
2014-04-10,8.842700958251953,9.070876892836058,8.709305669300067,8.744409305916566,14708446
2014-04-11,8.737388610839844,8.804086717682317,8.565379589330341,8.7022849726175,7228159
2014-04-14,8.660161972045898,8.839192124473,8.572401480984517,8.73037018116881,7209193
2014-04-15,8.481130599975586,8.702286404931948,8.424964585849281,8.64261030199492,7166773
2014-04-16,8.109027862548828,8.537296299459404,8.073923304988922,8.460067007732254,11418105
2014-04-17,8.20380973815918,8.245935401958036,8.1195611664546,8.168706090063019,10862283
2014-04-18,9.025240898132324,9.025240898132324,8.196786646134973,8.24242238293271,22027973
2014-04-21,8.905888557434082,9.186721340721771,8.751429975447376,8.986627936697753,28867878
2014-04-22,8.9866304397583,8.9866304397583,8.635590281503708,8.849724098252032,15408599
2014-04-23,8.646119117736816,9.018220628967747,8.558358642712227,8.969075718330009,12889816
2014-04-24,8.323163986206055,8.677715157678762,8.319653896905209,8.653142695310711,11432815
2014-04-25,8.119558334350586,8.302098526864025,8.073922597249183,8.214338059287927,11661088
2014-04-28,7.308655738830566,8.070412432810265,7.308655738830566,8.070412432810265,22794786
2014-04-29,7.301634311676025,7.308655406712352,7.04888591393763,7.098031282614966,17619742
2014-04-30,7.3753533363342285,7.498217451709564,7.234936942010754,7.28759331953976,11445802
2014-05-05,7.67022705078125,7.69480042539726,7.301634699218522,7.37184335673124,12414638
2014-05-06,7.754476547241211,7.919465390403135,7.621081253708329,7.684268812281802,13229474
2014-05-07,7.431519508361816,7.736924281240541,7.392905782285821,7.736924281240541,11499003
2014-05-08,7.8281965255737305,8.000205562199762,7.3191872962014175,7.3191872962014175,18892011
2014-05-09,7.631612777709961,7.8984033766893385,7.413968468096049,7.652675145069869,10683445
2014-05-12,7.856278896331787,7.989674200140408,7.600019472735468,7.71586341559645,11461073
2014-05-13,7.722883701324463,7.91595602351529,7.617571859631598,7.856279007012379,9556943
2014-05-14,7.680758953094482,7.765008890675694,7.670227768311262,7.687780049160266,4789662
2014-05-15,7.364822864532471,7.698311144310649,7.3016352972534015,7.691290048326613,11939580
2014-05-16,7.645654201507568,7.8001118714231845,7.40343743137598,7.477155259283564,13635885
2014-05-19,7.449071884155273,7.536832357944291,7.354290774561909,7.498217253416497,7446702
